student_name,exam,first_time,prev_exam_result,challenges_faced,prep_level,school_support,teacher_impact,fail_reason,prep_strategy,subject_failed,student_category,subjects_taken,income_bracket,year,jamb_score
Student_5,JAMB,Yes,Average,Fear,3,Accountability partners,Negative,External issues,I followed a routine,Biology,Science,['English' 'Maths' 'Biology' 'Chemistry'],0-100,2021,150
Student_6,JAMB,Yes,Bad,nan,3,nan,Negative,nan,I study with a partner,Accounting,Commercial,['English' 'Economics' 'Commerce' 'Accounting'],0-100,2024,209
Student_7,WAEC,Yes,nan,Lack of time due to chores/work,3,Mock exams,nan,Procrastination,I focus on weak areas,Commerce,Commercial,['English' 'Economics' 'Commerce' 'Accounting'],0-100,2021,213
Student_8,JAMB,Yes,Good,Time management,5,Extra lesson,Positive & Negative,nan,I practice with past questions,Maths,Science,['English' 'Maths' 'Chemistry' 'Biology'],0-100,2023,168
Student_9,JAMB and WAEC,Yes,Bad,Lack of Finance,5,nan,nan,Procrastination,I focus on weak areas,Economics,Commercial,['English' 'Economics' 'Commerce' 'Accounting'],0-100,2022,203
Student_10,JAMB,No,Good,nan,3,Counseling,nan,Inadequate preparation,I study with a partner,Accounting,Commercial,['English' 'Economics' 'Accounting' 'Commerce'],100-300,2020,230
Student_11,JAMB and WAEC,No,Average,Other commitments,5,Moral Support,nan,nan,I followed a routine,Literature in English,Art,['English' 'Government' 'History' 'Literature in English'],"1,000 Upwards ",2020,270
Student_12,JAMB,Yes,Average,Time management,4,Extra lesson,nan,nan,I attend extra classes,Maths,Science,['English' 'Physics' 'Chemistry' 'Maths'],300-500,2023,258
Student_13,JAMB,Yes,Bad,Time management, ,Mock exams,Positive,Lack of planning,Used additional resources,Literature in English,Art,['English' 'CRS' 'Literature in English' 'Government'],300-500,2024,226
Student_14,WAEC,Yes,nan,Subject difficulty,4,Moral Support,nan,Poor Time management,I review my notes daily,Government,Art,['English' 'CRS' 'Literature in English' 'Government'],300-500,2022,242
Student_15,JAMB,No,Good,Time management,4,nan,nan,Procrastination,I put away other commitments,Literature in English,Art,['English' 'Literature in English' 'CRS' 'Government'],0-100,2021,212
Student_16,WAEC,Yes,Average,Time management,5,nan,nan,Poor Time management,I followed a routine,Accounting,Commercial,['English' 'Accounting' 'Economics' 'Commerce'],"1,000 Upwards ",2023,255
Student_17,JAMB and WAEC,No,Average,Lack of Finance,3,Counseling,nan,nan,Used additional resources,CRS,Art,['English' 'Government' 'CRS' 'Literature in English'],100-300,2022,237
Student_18,WAEC,Yes,nan,Other commitments, ,Moral Support,Positive,Inadequate preparation,I followed a routine,Physics,Science,['English' 'Maths' 'Physics' 'Biology'],100-300,2021,237
Student_19,WAEC,Yes,Average,Fear,4,Counseling,Positive & Negative,Inadequate preparation,I attend extra classes,Maths,Science,['English' 'Physics' 'Chemistry' 'Maths'],0-100,2022,203
Student_20,WAEC,No,Good,Fear,4,Extra lesson,nan,Inadequate preparation,I followed a routine,Accounting,Commercial,['English' 'Economics' 'Accounting' 'Commerce'],0-100,2020,181
Student_21,WAEC,No,Bad,Lack of Finance,3,Extra lesson,Positive & Negative,Poor Time management,I attend extra classes,Maths,Science,['English' 'Chemistry' 'Maths' 'Physics'],300-500,2023,240
Student_22,JAMB,Yes,Good,Time management,3,nan,nan,Procrastination,Used additional resources,Literature in English,Art,['English' 'CRS' 'Literature in English' 'History'],100-300,2021,246
Student_23,JAMB,Yes,nan,Fear,2,Strict supervision,Positive,nan,I review my notes daily,Economics,Commercial,['English' 'Economics' 'Accounting' 'Commerce'],"500-1,000",2024,220
Student_24,JAMB and WAEC,Yes,Average,Fear,5,Extra lesson,nan,External issues,I review my notes daily,History,Art,['English' 'Literature in English' 'Government' 'History'],0-100,2022,189
Student_25,JAMB and WAEC,Yes,Bad,nan,3,Accountability partners,nan,Lack of planning,I review my notes daily,Government,Art,['English' 'Government' 'History' 'Literature in English'],100-300,2021,185
Student_26,JAMB and WAEC,Yes,Good,Other commitments,4,Mock exams,nan,Inadequate preparation,I study with a partner,Physics,Science,['English' 'Physics' 'Maths' 'Biology'],0-100,2022,150
Student_27,WAEC,No,Average,Fear,5,Extra lesson,nan,Poor Time management,I focus on weak areas,Biology,Science,['English' 'Chemistry' 'Biology' 'Maths'],"500-1,000",2020,237
Student_28,JAMB,No,nan,Lack of Finance,4,Moral Support,nan,Inadequate preparation,I had many mock exams,Biology,Science,['English' 'Physics' 'Biology' 'Maths'],0-100,2023,224
Student_29,WAEC,Yes,Good,Time management,4,nan,Positive,nan,I review my notes daily,Physics,Science,['English' 'Physics' 'Maths' 'Biology'],"1,000 Upwards ",2023,310
Student_30,WAEC,No,Good,Long waiting time,5,nan,Positive,Lack of planning,I review my notes daily,Maths,Science,['English' 'Maths' 'Biology' 'Chemistry'],100-300,2022,231
Student_31,WAEC,Yes,Bad,Long waiting time,3,nan,nan,nan,I review my notes daily,History,Art,['English' 'Literature in English' 'History' 'CRS'],300-500,2022,266
Student_32,WAEC,Yes,Bad,Anxiety, ,nan,nan,nan,Used additional resources,Biology,Science,['English' 'Physics' 'Biology' 'Chemistry'],300-500,2024,226
Student_33,JAMB and WAEC,No,Good,Long waiting time,3,Strict supervision,Positive & Negative,Inadequate preparation,I followed a routine,Accounting,Commercial,['English' 'Accounting' 'Economics' 'Commerce'],300-500,2021,268
Student_34,JAMB and WAEC,Yes,Good,Fear,4,Moral Support,nan,Procrastination,I focus on weak areas,Chemistry,Science,['English' 'Chemistry' 'Physics' 'Maths'],300-500,2020,242
Student_35,JAMB,No,Average,Anxiety, ,Strict supervision,nan,External issues,I attend extra classes,Literature in English,Art,['English' 'Literature in English' 'History' 'Government'],100-300,2021,241
Student_36,WAEC,No,Average,Lack of Finance,5,Accountability partners,Positive & Negative,Poor Time management,Used additional resources,Maths,Science,['English' 'Biology' 'Physics' 'Maths'],300-500,2020,218
Student_37,WAEC,No,Good,Lack of Finance,5,nan,Positive & Negative,External issues,I review my notes daily,Chemistry,Science,['English' 'Biology' 'Chemistry' 'Maths'],0-100,2023,223
Student_38,WAEC,Yes,Average,Fear,3,Extra lesson,nan,nan,Used additional resources,Physics,Science,['English' 'Biology' 'Chemistry' 'Physics'],0-100,2022,170
Student_39,WAEC,Yes,Average,Time management,2,Moral Support,Positive & Negative,Poor Time management,I followed a routine,Economics,Commercial,['English' 'Economics' 'Commerce' 'Accounting'],300-500,2020,201
Student_40,WAEC,Yes,Bad,Technical issues,4,nan,nan,nan,I had many mock exams,CRS,Art,['English' 'Government' 'CRS' 'History'],0-100,2023,167
Student_41,JAMB and WAEC,No,Good,Lack of Finance,4,Strict supervision,nan,nan,I review my notes daily,Economics,Commercial,['English' 'Commerce' 'Economics' 'Accounting'],100-300,2022,233
Student_42,WAEC,No,nan,Time management,3,nan,Negative,Inadequate preparation,I followed a routine,Commerce,Commercial,['English' 'Accounting' 'Commerce' 'Economics'],100-300,2023,249
Student_43,WAEC,Yes,nan,Time management,1,nan,nan,Inadequate preparation,I followed a routine,Commerce,Commercial,['English' 'Accounting' 'Economics' 'Commerce'],"1,000 Upwards ",2023,320
Student_44,WAEC,No,Good,Long waiting time,4,Strict supervision,nan,nan,I had many mock exams,Biology,Science,['English' 'Physics' 'Biology' 'Chemistry'],100-300,2024,184
Student_45,WAEC,Yes,nan,Anxiety,1,nan,nan,Inadequate preparation,I had many mock exams,History,Art,['English' 'CRS' 'Literature in English' 'History'],"1,000 Upwards ",2023,272
Student_46,JAMB and WAEC,Yes,Good,nan,2,Strict supervision,nan,Inadequate preparation,I review my notes daily,Biology,Science,['English' 'Physics' 'Biology' 'Maths'],0-100,2023,150
Student_47,JAMB and WAEC,Yes,Bad,Technical issues,4,nan,nan,Inadequate preparation,I had many mock exams,Commerce,Commercial,['English' 'Commerce' 'Accounting' 'Economics'],"1,000 Upwards ",2022,311
Student_48,WAEC,Yes,nan,Time management,3,nan,nan,External issues,I attend extra classes,Literature in English,Art,['English' 'Literature in English' 'History' 'Government'],300-500,2022,283
Student_49,JAMB,No,Bad,Fear,5,Strict supervision,nan,Procrastination,I review my notes daily,Physics,Science,['English' 'Maths' 'Physics' 'Biology'],300-500,2021,242
